outer_fold,method,placement,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,well_10,well_11,well_12,well_13,well_14,well_15,well_16,well_17,well_18,well_19,well_20,well_21,well_22,well_23,well_24,well_25,well_26,well_27,well_28,well_29,well_30
2,original_tbmd,dg_pressure,29,30,28,14,23,18,25,26,9,27,8,5,7,2,1,10,12,21,24,4,3,17,20,22,13,6,11,19,16,15
2,original_tbmd,condition_pressure,29,30,27,14,23,19,25,26,9,28,8,5,7,2,1,10,12,20,24,4,3,17,18,21,13,6,11,22,16,15
3,final_accuracy,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3,final_accuracy,dg_joint,28,29,30,10,7,17,23,22,1,25,19,4,6,12,21,20,2,24,16,13,11,26,18,15,5,9,8,27,14,3
3,final_accuracy,condition_joint,28,30,29,10,7,14,23,20,1,26,21,4,5,18,19,22,2,24,15,13,11,25,16,17,6,9,8,27,12,3
3,final_accuracy,dg_pressure,27,21,29,15,25,10,19,22,9,24,17,5,8,2,18,14,11,1,23,4,3,26,20,30,16,6,12,28,7,13
3,final_accuracy,condition_pressure,26,28,29,15,21,10,23,16,9,24,20,5,8,2,18,14,11,1,25,4,3,19,22,30,17,6,12,27,7,13
3,final_pareto,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3,final_pareto,dg_joint,30,29,28,14,18,10,20,19,1,22,17,4,8,2,6,13,11,24,21,3,9,25,23,26,16,5,12,27,7,15
3,final_pareto,condition_joint,29,30,28,14,17,12,20,19,1,26,18,4,7,2,15,11,9,21,22,5,8,25,23,24,16,6,13,27,10,3
3,final_pareto,dg_pressure,30,29,27,15,22,10,19,20,11,21,16,5,8,2,18,13,9,1,23,4,3,25,24,28,17,6,12,26,7,14
3,final_pareto,condition_pressure,29,28,27,14,16,10,21,20,11,23,19,5,8,2,18,13,9,1,25,4,3,22,24,30,17,6,12,26,7,15
3,rank_optimized_joint,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3,rank_optimized_joint,dg_joint,30,27,28,5,6,15,25,23,7,26,17,4,13,1,19,18,11,24,16,14,9,29,21,22,2,8,12,20,10,3
3,rank_optimized_joint,condition_joint,27,28,29,5,6,16,24,20,7,25,18,4,10,1,19,21,12,26,14,15,9,30,22,17,2,8,11,23,13,3
3,rank_optimized_joint,dg_pressure,30,29,28,14,18,11,26,25,9,27,16,5,7,2,23,17,10,1,19,4,3,22,20,24,15,6,12,21,8,13
3,rank_optimized_joint,condition_pressure,27,28,30,14,18,11,26,25,9,29,16,5,7,2,24,17,10,1,19,4,3,22,21,23,15,6,12,20,8,13
3,property_decoupled,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3,property_decoupled,dg_joint,28,29,30,10,7,17,23,22,1,25,19,4,6,12,21,20,2,24,16,13,11,26,18,15,5,9,8,27,14,3
3,property_decoupled,condition_joint,28,30,29,10,7,14,23,20,1,26,21,4,5,18,19,22,2,24,15,13,11,25,16,17,6,9,8,27,12,3
3,property_decoupled,dg_pressure,27,21,29,15,25,10,19,22,9,24,17,5,8,2,18,14,11,1,23,4,3,26,20,30,16,6,12,28,7,13
3,property_decoupled,condition_pressure,26,28,29,15,21,10,23,16,9,24,20,5,8,2,18,14,11,1,25,4,3,19,22,30,17,6,12,27,7,13
3,hybrid,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3,hybrid,dg_joint,29,27,26,19,20,11,25,18,8,28,17,4,6,1,3,14,13,16,21,7,9,30,24,23,2,10,12,22,15,5
3,hybrid,condition_joint,29,27,26,12,13,17,25,20,8,28,18,4,6,1,3,19,16,15,21,7,9,30,24,23,2,10,11,22,14,5
3,hybrid,dg_pressure,30,28,27,17,20,11,26,21,10,29,7,3,8,2,18,14,12,9,23,4,5,22,25,24,19,6,13,1,16,15
3,hybrid,condition_pressure,30,24,28,17,20,11,29,21,10,27,7,4,8,2,18,14,12,9,23,3,5,22,26,25,19,6,13,1,16,15
3,POD,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3,POD,dg_joint,30,27,28,8,4,17,24,20,11,25,18,5,6,16,19,21,10,26,13,14,9,29,22,15,2,7,3,23,12,1
3,POD,condition_joint,30,27,28,8,4,17,24,23,11,25,19,5,6,18,20,22,10,26,13,14,9,29,16,15,2,7,3,21,12,1
3,POD,dg_pressure,30,28,29,14,3,16,20,21,10,23,13,12,2,15,22,27,11,26,17,9,6,24,18,19,4,7,8,25,5,1
3,POD,condition_pressure,30,28,29,14,3,16,20,21,10,23,13,12,2,15,22,27,11,26,17,9,6,24,18,19,4,7,8,25,5,1
3,POD-E,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3,POD-E,dg_joint,30,27,28,4,6,15,25,23,13,24,17,5,10,1,20,18,11,26,16,14,9,29,19,22,2,8,7,21,12,3
3,POD-E,condition_joint,30,27,28,4,6,17,24,20,12,25,18,5,10,1,19,21,11,26,13,16,8,29,22,15,2,9,7,23,14,3
3,POD-E,dg_pressure,30,28,29,14,17,10,26,25,9,27,16,5,8,2,24,18,11,1,19,4,3,22,20,23,15,6,13,21,7,12
3,POD-E,condition_pressure,28,27,30,14,17,10,26,24,9,29,16,5,8,2,25,18,11,1,20,4,3,22,19,23,15,6,13,21,7,12
3,original_tbmd,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3,original_tbmd,dg_joint,28,29,30,17,7,18,26,23,9,24,16,5,4,1,20,13,6,25,19,8,14,27,21,22,2,12,11,15,10,3
3,original_tbmd,condition_joint,28,30,29,17,7,18,26,23,10,24,16,5,4,1,20,13,6,25,19,8,14,27,21,22,2,12,11,15,9,3
3,original_tbmd,dg_pressure,29,30,28,14,20,18,25,26,9,27,8,5,6,2,1,10,12,21,24,4,3,17,22,23,15,7,11,19,16,13
3,original_tbmd,condition_pressure,29,30,27,14,25,18,23,26,9,28,8,5,6,2,1,10,12,21,24,4,3,17,22,20,15,7,11,19,16,13
4,final_accuracy,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
4,final_accuracy,dg_joint,28,29,30,16,23,12,27,20,1,22,17,4,10,2,15,9,8,25,21,6,7,19,18,26,14,5,13,24,11,3
4,final_accuracy,condition_joint,28,29,30,15,22,12,19,16,1,25,17,4,9,2,18,10,8,26,21,6,7,27,20,23,13,5,14,24,11,3
4,final_accuracy,dg_pressure,28,20,30,16,26,11,21,22,10,24,17,5,9,2,18,13,7,1,23,4,3,27,19,29,12,6,14,25,8,15
4,final_accuracy,condition_pressure,27,28,30,15,26,11,25,22,10,23,18,5,9,2,20,13,7,1,24,4,3,21,19,29,12,6,14,16,8,17
4,final_pareto,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
4,final_pareto,dg_joint,30,29,28,16,23,11,27,19,1,24,3,4,9,2,7,12,8,25,20,6,10,21,22,26,14,5,13,18,15,17
4,final_pareto,condition_joint,30,29,28,15,20,12,26,19,1,27,17,4,8,2,18,11,7,25,21,5,9,24,22,23,14,6,13,16,10,3
4,final_pareto,dg_pressure,30,29,28,16,25,11,26,20,10,22,15,3,9,2,18,12,8,1,24,4,5,21,23,27,14,6,13,19,7,17
4,final_pareto,condition_pressure,30,29,28,15,24,11,26,19,10,23,17,3,9,2,20,12,8,1,25,4,5,21,22,27,14,6,13,16,7,18
4,rank_optimized_joint,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
4,rank_optimized_joint,dg_joint,30,27,28,5,6,14,25,23,7,26,17,4,13,1,19,18,11,24,16,10,12,29,21,22,2,8,15,20,9,3
4,rank_optimized_joint,condition_joint,27,28,29,5,6,17,21,19,7,25,20,4,11,1,18,23,14,26,13,15,10,30,22,16,2,8,12,24,9,3
4,rank_optimized_joint,dg_pressure,30,29,28,16,18,11,26,25,10,27,15,5,9,2,23,17,8,1,19,4,3,22,21,24,14,6,13,20,7,12
4,rank_optimized_joint,condition_pressure,27,28,30,16,18,11,25,26,10,29,15,5,9,2,24,17,8,1,19,4,3,22,21,23,14,6,13,20,7,12
4,property_decoupled,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
4,property_decoupled,dg_joint,28,29,30,16,23,12,27,20,1,22,17,4,10,2,15,9,8,25,21,6,7,19,18,26,14,5,13,24,11,3
4,property_decoupled,condition_joint,28,29,30,15,22,12,19,16,1,25,17,4,9,2,18,10,8,26,21,6,7,27,20,23,13,5,14,24,11,3
4,property_decoupled,dg_pressure,28,20,30,16,26,11,21,22,10,24,17,5,9,2,18,13,7,1,23,4,3,27,19,29,12,6,14,25,8,15
4,property_decoupled,condition_pressure,27,28,30,15,26,11,25,22,10,23,18,5,9,2,20,13,7,1,24,4,3,21,19,29,12,6,14,16,8,17
4,hybrid,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
4,hybrid,dg_joint,29,28,26,6,22,17,25,19,7,27,15,4,9,1,3,14,10,16,21,8,11,30,23,20,2,13,12,24,18,5
4,hybrid,condition_joint,29,28,26,6,12,14,25,18,7,27,16,4,10,1,3,20,17,15,21,8,9,30,23,22,2,13,11,24,19,5
4,hybrid,dg_pressure,30,26,27,19,25,14,28,20,11,29,7,3,8,2,18,13,10,9,21,4,5,23,24,22,15,6,12,1,17,16
4,hybrid,condition_pressure,30,27,28,19,24,14,29,20,11,26,7,3,8,2,18,13,10,9,21,4,5,23,25,22,15,6,12,1,17,16
4,POD,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
4,POD,dg_joint,30,27,28,12,1,14,21,22,11,25,20,5,6,17,19,23,9,26,13,15,8,29,18,16,3,7,4,24,10,2
4,POD,condition_joint,28,27,29,12,1,14,21,22,11,25,20,5,6,17,19,23,9,26,13,15,8,30,18,16,3,7,4,24,10,2
4,POD,dg_pressure,29,28,30,14,4,16,20,24,10,21,13,12,2,15,22,27,11,26,17,9,8,23,18,19,3,6,7,25,5,1
4,POD,condition_pressure,29,28,30,14,4,16,20,24,10,21,13,12,2,15,22,27,11,26,17,9,8,23,18,19,3,6,7,25,5,1
4,POD-E,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
4,POD-E,dg_joint,29,27,28,4,6,15,25,23,12,26,17,5,13,1,19,18,8,24,16,11,7,30,21,22,2,10,14,20,9,3
4,POD-E,condition_joint,30,27,28,4,6,17,21,22,10,25,20,5,12,1,19,23,14,26,13,15,7,29,18,16,2,8,11,24,9,3
4,POD-E,dg_pressure,30,28,29,16,18,11,26,25,10,27,15,5,9,2,24,17,8,1,19,4,3,22,21,23,13,6,14,20,7,12
4,POD-E,condition_pressure,29,28,30,16,18,11,26,24,10,27,15,5,9,2,25,17,7,1,19,4,3,22,21,23,13,6,14,20,8,12
4,original_tbmd,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
4,original_tbmd,dg_joint,28,30,29,15,22,14,26,21,9,24,17,5,4,1,20,16,6,25,19,8,11,27,23,7,2,18,12,13,10,3
4,original_tbmd,condition_joint,28,30,29,15,22,14,26,21,10,24,17,5,4,1,20,16,6,25,19,9,11,27,23,7,2,18,12,13,8,3
4,original_tbmd,dg_pressure,29,30,28,12,23,15,26,24,9,27,17,5,7,2,1,10,11,21,25,4,3,18,20,22,14,6,16,19,8,13
4,original_tbmd,condition_pressure,29,30,28,12,23,15,26,24,9,27,16,5,7,2,1,10,11,20,25,4,3,18,19,22,14,6,17,21,8,13
5,final_accuracy,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
5,final_accuracy,dg_joint,28,29,30,16,19,13,21,22,1,23,17,4,9,2,15,10,8,25,20,6,7,24,18,26,14,5,12,27,11,3
5,final_accuracy,condition_joint,28,29,30,16,19,14,20,22,1,27,18,4,9,2,15,10,8,25,21,6,7,24,17,23,13,5,11,26,12,3
5,final_accuracy,dg_pressure,28,20,30,16,21,11,23,24,10,25,17,5,8,2,18,13,7,1,22,4,3,26,19,29,14,6,12,27,9,15
5,final_accuracy,condition_pressure,27,28,30,15,22,12,20,21,10,25,18,5,8,2,19,13,7,1,24,4,3,23,16,29,14,6,11,26,9,17
5,final_pareto,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
5,final_pareto,dg_joint,28,29,30,15,19,11,20,18,1,23,16,4,7,2,6,12,9,24,21,3,10,27,22,25,14,5,13,26,8,17
5,final_pareto,condition_joint,28,29,30,15,20,13,25,17,1,27,10,4,7,2,18,12,8,26,21,5,14,23,22,24,9,6,11,19,16,3
5,final_pareto,dg_pressure,28,29,30,16,21,12,19,20,11,23,15,3,7,2,17,13,8,1,22,4,5,25,24,27,14,6,10,26,9,18
5,final_pareto,condition_pressure,28,29,30,15,22,13,26,20,11,25,16,3,7,2,18,12,9,1,24,4,5,21,23,27,14,6,10,17,8,19
5,rank_optimized_joint,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
5,rank_optimized_joint,dg_joint,30,27,28,16,7,14,25,23,13,26,17,4,5,1,19,18,8,24,15,10,9,29,21,22,2,11,6,20,12,3
5,rank_optimized_joint,condition_joint,27,28,29,15,7,17,21,19,12,23,18,4,5,1,20,25,8,26,11,14,9,30,22,16,2,10,6,24,13,3
5,rank_optimized_joint,dg_pressure,30,29,28,16,18,13,26,25,10,27,17,5,7,2,23,15,8,1,19,4,3,22,20,24,14,6,11,21,9,12
5,rank_optimized_joint,condition_pressure,27,28,30,16,18,13,26,24,10,29,17,5,7,2,25,15,8,1,19,4,3,22,20,23,14,6,11,21,9,12
5,property_decoupled,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
5,property_decoupled,dg_joint,28,29,30,16,19,13,21,22,1,23,17,4,9,2,15,10,8,25,20,6,7,24,18,26,14,5,12,27,11,3
5,property_decoupled,condition_joint,28,29,30,16,19,14,20,22,1,27,18,4,9,2,15,10,8,25,21,6,7,24,17,23,13,5,11,26,12,3
5,property_decoupled,dg_pressure,28,20,30,16,21,11,23,24,10,25,17,5,8,2,18,13,7,1,22,4,3,26,19,29,14,6,12,27,9,15
5,property_decoupled,condition_pressure,27,28,30,15,22,12,20,21,10,25,18,5,8,2,19,13,7,1,24,4,3,23,16,29,14,6,11,26,9,17
5,hybrid,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
5,hybrid,dg_joint,29,27,26,19,13,15,25,21,7,28,18,4,6,1,3,17,11,16,20,8,12,30,24,23,2,10,9,22,14,5
5,hybrid,condition_joint,30,27,26,17,11,14,25,21,7,28,19,4,6,1,3,16,13,18,20,8,10,29,24,23,2,12,9,22,15,5
5,hybrid,dg_pressure,30,28,27,18,22,14,26,20,12,29,7,3,8,2,16,13,10,9,21,4,5,23,24,25,17,6,11,1,15,19
5,hybrid,condition_pressure,30,26,27,18,22,14,28,20,12,29,7,3,8,2,16,13,10,9,21,4,5,23,25,24,17,6,11,1,15,19
